joc_id,comment
NBE07512,"Remember you can leave your ""thoughts"" here about this news story, or react to other people's opinions. Personally, I am worried that because the rocket launch was a failure, North Korea will restart testing nuclear weapons next."
NBE00001,"I felt relieved to hear the news that the rocket launch failed, but now I am worried, too. I can't speculate what North Korea plot to do next."
NBE00002,"Fortunately, this time, North Korea's long launch rocket failed . But, it may success next time. It is too late that. Then, people who live around North Korea confront more fear than now. I argue that Japanese government should emphasize that North Korea must not test rocket launch and nuclear weapon again. If not , in near the future, North Korea's rocket or nuclear weapon took a heavy toll of human lives."
NBE00003,"I think Japan should continue to impose economic sanctions on North Korea whether or not its missile test failed. Anyway, North Korea's missile test and nuclear testing can be great threat to the countries around it, including Japan. We have to criticize North Korea for its provocative acts and send the messages to it through economic sanctions."
NBE00004,"I became worried when I first heard this news. The rocket launch failed, but that time Japanese government's response was not sufficient. I think that the Japanese government must prepare more in case rocket launch is successful."
NBE00005,"I am worried whether scientists concerned with this failure will be killed. As soon as Kim Jong-Un get this state, he purged a high officer who had made a mistake. Therefore I think that he may purge the scientists too. ID12040"
NBE00006,"I felt worried and fear about this news. As my classmates said, Japanese government should keep more strict watch on North Korea's words and actions especially concerning nuclear. Because as we know, nuclear power can destroy everything. Also I claim Japanese people need to have a sense of crisis."
NBE00007,"The purpose of North Korea's rocket launch was to inspire the nation, but as a result, the failure emphasized lack of consideration and it made the nation disappointed. I'm afraid that the irritation caused by this failure will give rise to North Korea's more drastic actions."
NBE00008,"When I knew this news, I felt relieved. However, at the same time, I felt fear. It is because I thought North Korea would test again. Japan is near North Korea. So Japan should be more careful than now, and it is important for Japan to cooperate with other countries. I hope peace will be brought on earth soon."
NBE00009,"This news made me sad. I agreed with ID12044 about Japanese government. They have a role of protecting Japanese. However, their react after failing of missile was terrible. They should learn how to protect our own country and people as a neighbor of North Korea. I thought this incident became a good opportunity of thinking about system of Japanese government."
NBE00010,"When I heard about the news, I was worried could Japan actually shoot down the rocket. This time, Japan took nearly 1 hour to confirm that North Korea had launched the rocket. I think Japan need extra strategy to protect Japan."
NBE00011,"Just like everyone else i felt relieved too, and also anxious about what will North Korea do next. and also same as ID12044 and ID12033, that i think we need to take another look at how Japanese government will correspond to the emergency."
NBE00012,"I'm disagree about ID12011's opinion because I think civilization society must think about North Korean's human rights. In my opinion, China must cooperate with United Nations Security Council's resolution because when it comes to North Korea problem, United Nations Security Council's resolution always rejected because of China."
NBE00013,I felt relieved when I heard the news. It is not first time to hear the news about North Korea's rocket. I am worried that they will do something dangerous again. I think Japan should watch for them more carefully.
