student_id,joc_id,thread_id
12061,joc_00001,12A-01N002
12001,joc_00002,12A-01N003
12027,joc_00003,12A-01N004
12055,joc_00004,12A-01N005
12042,joc_00005,12A-01N006
12028,joc_00006,12A-01N007
12037,joc_00007,12A-01N008
12039,joc_00008,12A-01N009
12018,joc_00009,12A-01N010
12009,joc_00010,12A-01N011
12011,joc_00011,12A-01N012
12044,joc_00012,12A-01N013
12040,joc_00013,12A-01N014
12028,joc_00014,12A-01N015
12010,joc_00015,12A-01N016
12035,joc_00016,12A-01N017
12033,joc_00017,12A-01N018
12051,joc_00018,12A-01N019
12045,joc_00019,12A-01N020
12053,joc_00020,12A-01N021
12026,joc_00021,12A-01N022
12013,joc_00022,12A-01N023
12017,joc_00023,12A-01N024
12017,joc_00024,12A-01N025
12029,joc_00025,12A-01N026
12019,joc_00026,12A-01N027
12004,joc_00027,12A-01N028
12036,joc_00028,12A-01N029
12005,joc_00029,12A-01N030
12025,joc_00030,12A-01N031
12011,joc_00031,12A-01N032
12021,joc_00032,12A-01N033
12016,joc_00033,12A-01N034
12032,joc_00034,12A-01N035
12022,joc_00035,12A-01N036
12007,joc_00036,12A-01N037
12037,joc_00037,12A-01N038
12034,joc_00038,12A-01N039
12046,joc_00039,12A-01N040
12020,joc_00040,12A-01N041
12012,joc_00041,12A-01N042
12002,joc_00042,12A-01N043
12006,joc_00043,12A-01N044
12023,joc_00044,12A-01N045
12014,joc_00045,12A-01N046
12031,joc_00046,12A-01N047
12063,joc_00047,12A-01N048
12058,joc_00048,12A-01N049
12049,joc_00049,12A-01N050
12054,joc_00050,12A-01N051
12050,joc_00051,12A-01N052
12048,joc_00052,12A-01N053
12060,joc_00053,12A-01N054
12052,joc_00054,12A-01N057
12038,joc_00055,12A-01N058
12030,joc_00056,12A-01N071
12048,joc_00057,12A-01N072
12043,joc_00058,12A-01N068
12062,joc_00059,12A-01N059
15022,joc_00060,12A-01N060
15062,joc_00061,12A-01N061
15021,joc_00062,12A-01N067
15037,joc_00063,12A-01N069
15066,joc_00064,12A-01N070
15048,joc_00065,12A-01N063
15036,joc_00066,12A-01N064
12015,joc_00067,12A-01N065
12003,joc_00068,12A-01N062
12024,joc_00069,12A-01N066
12027,joc_00070,12A-01N055
12059,joc_00071,12A-01N056
12058,joc_00072,12A-02N039
12044,joc_00073,12A-02N056
12001,joc_00074,12A-02N044
12048,joc_00075,12A-02N038
12031,joc_00076,12A-02N069
