corpus_id,topic_id,student_id
JOC_07512,12A-01N,Teacher
JOC_00009,12A-01N,12018
JOC_00010,12A-01N,12009
JOC_00011,12A-01N,12011
JOC_00012,12A-01N,12044
JOC_00013,12A-01N,12040
JOC_00014,12A-01N,12028
JOC_00015,12A-01N,12010
JOC_00016,12A-01N,12035
JOC_00017,12A-01N,12033
JOC_00018,12A-01N,12051
JOC_00001,12A-01N,12061
JOC_05968,12A-01N,12047
JOC_00019,12A-01N,12045
JOC_00020,12A-01N,12053
JOC_00021,12A-01N,12026
JOC_00022,12A-01N,12013
JOC_00023,12A-01N,12017
JOC_00024,12A-01N,12017
JOC_00025,12A-01N,12029
JOC_00026,12A-01N,12019
JOC_00027,12A-01N,12004
JOC_00028,12A-01N,12036
JOC_00002,12A-01N,12001
JOC_00029,12A-01N,12005
JOC_00030,12A-01N,12025
JOC_00031,12A-01N,12011
JOC_00032,12A-01N,12021
JOC_00033,12A-01N,12016
JOC_00034,12A-01N,12032
JOC_00035,12A-01N,12022
JOC_00036,12A-01N,12007
JOC_00037,12A-01N,12037
JOC_00038,12A-01N,12034
JOC_00003,12A-01N,12027
JOC_00039,12A-01N,12046
JOC_00040,12A-01N,12020
JOC_00041,12A-01N,12012
JOC_00042,12A-01N,12002
JOC_00043,12A-01N,12006
JOC_00044,12A-01N,12023
JOC_00045,12A-01N,12014
JOC_00046,12A-01N,12031
JOC_00047,12A-01N,12063
JOC_00048,12A-01N,12058
JOC_00004,12A-01N,12055
JOC_00049,12A-01N,12049
JOC_00050,12A-01N,12054
JOC_00051,12A-01N,12050
JOC_00052,12A-01N,12048
JOC_00053,12A-01N,12060
JOC_00054,12A-01N,12052
JOC_00055,12A-01N,12038
JOC_00056,12A-01N,12030
JOC_00057,12A-01N,12048
JOC_05556,12A-01N,12048
JOC_00005,12A-01N,12042
JOC_06810,12A-01N,12041
JOC_05528,12A-01N,12008
JOC_05992,12A-01N,12008
JOC_06921,12A-01N,12008
JOC_06383,12A-01N,12040
JOC_00006,12A-01N,12028
JOC_00007,12A-01N,12037
JOC_00008,12A-01N,12039
JOC_00058,12A-01N,12043
JOC_00067,12A-01N,12015
JOC_00068,12A-01N,12003
JOC_00069,12A-01N,12024
JOC_00070,12A-01N,12027
JOC_00071,12A-01N,12059
JOC_00059,12A-01N,12062
JOC_00060,12A-01N,15022
JOC_00061,12A-01N,15062
JOC_00062,12A-01N,15021
JOC_00063,12A-01N,15037
JOC_00064,12A-01N,15066
JOC_00065,12A-01N,15048
JOC_00066,12A-01N,15036
JOC_02055,12A-01O,13034
JOC_02708,12A-01O,13060
JOC_01308,12A-01O,13004
JOC_01539,12A-01O,13013
JOC_02811,12A-01O,13025
JOC_02813,12A-01O,14012
JOC_02808,12A-01O,14036
JOC_02809,12A-01O,14002
JOC_01850,12A-01O,14003
JOC_02810,12A-01O,14012
JOC_02812,12A-01O,14030
