Biber	category	subcategory	pattern	regex
1	modal	possibiity/permission/ability	can	[^_ ]+_VM_can\s?
1	modal	possibiity/permission/ability	could	[^_ ]+_VM_could\s?
1	modal	possibiity/permission/ability	might	[^_ ]+_VM_might\s?
1	modal	necessity / obligation	must	[^_ ]+_VM_must\s?
1	modal	necessity / obligation	should	[^_ ]+_VM_should\s?
1	modal	necessity / obligation	ought to	[^_ ]+_VMK_ought\sto_TO_to\s?
1	modal	necessity / obligation	had better	[^_ ]+_VHD_have\sbetter_RRR_better\s?
1	modal	necessity / obligation	have to	[^_ ]+_VH._have\sto_TO_to\s?
1	modal	necessity / obligation	got to	[^_ ]+_VVD_get\sto_TO_to\s?
1	modal	prediction / volition	will	[^_ ]+_VM_will\s?
1	modal	prediction / volition	would	[^_ ]+_VM_would\s?
1	modal	prediction / volition	shall	[^_ ]+_VM_shall\s?
1	modal	prediction / volition	could	[^_ ]+_VM_could\s?
1	modal	prediction / volition	be going to	[^_ ]+_VVGK_going\s[^_ ]+_TO_to\s?
2	stance adverb	certainty	actually	[^_ ]+_RR_actually\s?
2	stance adverb	certainty	always	[^_ ]+_RR_always\s?
2	stance adverb	certainty	certainly	[^_ ]+_RR_certainly\s?
2	stance adverb	certainty	definitely	[^_ ]+_RR_definitely\s?
2	stance adverb	certainty	indeed	[^_ ]+_RR_indeed\s?
2	stance adverb	certainty	inevitably	[^_ ]+_RR_inevitably\s?
2	stance adverb	certainty	in fact	[^_ ]+_II_in\sfact_NN1_fact\s?
2	stance adverb	certainty	never	[^_ ]+_RR_never\s?
2	stance adverb	certainty	of course	[^_ ]+_RR21_of\scourse_RR22_course\s?
2	stance adverb	certainty	obviously	[^_ ]+_RR_obviously\s?
2	stance adverb	certainty	really	[^_ ]+_RR_really\s?
2	stance adverb	certainty	undoubtedly	[^_ ]+_RR_undoubtedly\s?
2	stance adverb	certainty	without doubt	[^_ ]+_IW_without\s[^_ ]+_NN1_doubt\s?
2	stance adverb	certainty	no doubt	[^_ ]+_RR21_no\sdoubt_RR22_doubt\s|[^_ ]+_AT_no\sdoubt_NN1_doubt\s?
2	stance adverb	likelihood	apparently	[^_ ]+_RR_apparently\s?
2	stance adverb	likelihood	evidently	[^_ ]+_RR_evidently\s?
2	stance adverb	likelihood	kind of	[^_ ]+_NN1_kind\sof_IO_of\s?
2	stance adverb	likelihood	in most cases	[^_ ]+_II_in\smost_DAT_most\s[^_ ]+_NN2_case\s?
2	stance adverb	likelihood	in most instances	[^_ ]+_II_in\smost_DAT_most\s[^_ ]+_NN2_intance\s?
2	stance adverb	likelihood	perhaps	[^_ ]+_RR_perhaps\s?
2	stance adverb	likelihood	possibly	[^_ ]+_RR_possibly\s?
2	stance adverb	likelihood	predictably	[^_ ]+_RR_predictably\s?
2	stance adverb	likelihood	probably	[^_ ]+_RR_probably\s?
2	stance adverb	likelihood	roughly	[^_ ]+_RR_roughly\s?
2	stance adverb	likelihood	sort of	[^_ ]+_NN1_sort\sof_IO_of\s?
2	stance adverb	likelihood	maybe	[^_ ]+_RR_maybe\s?
2	stance adverb	attitude	amazingly	[^_ ]+_RR_amazingly\s?
2	stance adverb	attitude	astonishingly	[^_ ]+_RR_astonishingly\s?
2	stance adverb	attitude	conveniently	[^_ ]+_RR_conveniently\s?
2	stance adverb	attitude	curiously	[^_ ]+_RR_curiously\s?
2	stance adverb	attitude	hopefully	[^_ ]+_RR_hopefully\s?
2	stance adverb	attitude	even worse	[^_ ]+_RR_even\sworse_JJR_bad\s?
2	stance adverb	attitude	fortunately	[^_ ]+_RR_fortunately\s?
2	stance adverb	attitude	importantly	[^_ ]+_RR_importantly\s?
2	stance adverb	attitude	ironically	[^_ ]+_RR_ironically\s?
2	stance adverb	attitude	rightly	[^_ ]+_RR_rightly\s?
2	stance adverb	attitude	sadly	[^_ ]+_RR_sadly\s?
2	stance adverb	attitude	surprisingly	[^_ ]+_RR_surprisingly\s?
2	stance adverb	attitude	unfortunately	[^_ ]+_RR_unfortunately\s?
2	stance adverb	style	according to	[^_ ]+_II21_according\sto_II22_to\s?
2	stance adverb	style	confidentially	[^_ ]+_RR_confidentially\s?
2	stance adverb	style	frankly	[^_ ]+_RR_frankly\s?
2	stance adverb	style	generally	[^_ ]+_RR_generally\s?
2	stance adverb	style	honsetly	[^_ ]+_RR_honestly\s?
2	stance adverb	style	mainly	[^_ ]+_RR_mainly\s?
2	stance adverb	style	technically	[^_ ]+_RR_technically\s?
2	stance adverb	style	truthfully	[^_ ]+_RR_truthfully\s?
2	stance adverb	style	typically	[^_ ]+_RR_typically\s?
2	stance adverb	style	reportedly	[^_ ]+_RR_reportedly\s?
2	stance adverb	style	primarily	[^_ ]+_RR_primarily\s?
2	stance adverb	style	usually	[^_ ]+_RR_usually\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	conclude (that)	[^_ ]+_V[^_]{1,3}_conclude\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	demonstrate (that)	[^_ ]+_V[^_]{1,3}_demonstrate\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	determine (that)	[^_ ]+_V[^_]{1,3}_determine\s?
3.1a	stance verb + (that) clause	epistemic verbs - certainty	discover (that)	[^_ ]+_V[^_]{1,3}_discover\s?
