topic_id,headline,material,type
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
12A-01N,North Korea's rocket launch fails as world condemns action,supported,news
