file,corpus,in_dt_nn,dt_nn_in,nn_in_dt,dt_jj_nn,in_dt_jj,jj_nn_in,nn_in_nn,nns_in_dt,vbn_in_dt,in_jj_nns,nn_in_jj,in_dt_nns,in_jj_nn,jj_nns_in,dt_nn_nn,in_nn_in,nn_in_nns,dt_nn_vbz,nns_in_nn,dt_nns_in,to_vb_dt,vb_dt_nn,nn_cc_nn,dt_jj_nns,md_vb_vbn,nn_nn_in,in_nns_in,vbz_dt_nn,jj_in_dt,nn_md_vb,vb_vbn_in,nns_in_jj,prp_md_vb,jj_nn_nn,nn_to_vb,rb_in_dt,nn_in_nnp,md_rb_vb,in_nn_cc,nn_in_prp,nn_vbz_vbn,to_vb_in,jj_nn_vbz,in_nn_nn,jj_to_vb,in_dt_nnp,cc_dt_nn,in_prp_nn,jj_jj_nn,dt_nn_cc,prp_vbp_rb,prp_vbp_prp,vbp_rb_vb,prp_vbp_vbn,prp_vbz_rb,prp_md_rb,in_prp_vbp,prp_vbd_rb,prp_vbd_prp,uh_prp_vbp,rb_vb_prp,rb_prp_vbp,prp_vbp_vbg,prp_vbp_dt,to_vb_prp,vbg_to_vb,cc_prp_vbp,dt_nn_rb,md_vb_prp,prp_vbd_dt,prp_vbp_in,dt_nn_prp,cc_prp_vbd,nn_prp_vbp,vbd_dt_nn,vb_in_dt,vb_in_prp,vbp_prp_vb,prp_vbz_dt,md_vb_dt,rb_vb_dt,prp_vbd_in,in_prp_vbd,prp_vbd_vbn,vbd_in_dt,dt_nn_vbd,vbd_in_prp,vbd_to_vb,rb_in_prp,vbd_dt_jj,in_nnp_nnp,vbd_prp_nn,vbd_rb_in,nnp_vbd_rb,vbd_vbn_in,prp_nn_in,prp_jj_nn,in_prp_nns,vbg_in_dt,nn_prp_vbd,vb_dt_jj,vbp_to_vb,vbz_rb_jj,vbp_dt_nn,prp_vbz_jj,vbp_in_prp,nn_vbz_rb,nn_vbz_jj,vbz_jj_in,prp_vbp_to,rb_jj_in,nnp_nnp_nnp,dt_nnp_nnp,nnp_nnp_vbd,nnp_in_nnp,nnp_cc_nnp,nnp_nnp_in,nn_in_cd,nns_in_nnp,nn_nnp_nnp,nnp_pos_nn
aca_A6U_001,aca,112,87,78,92,64,62,31,22,32,24,24,28,17,28,11,11,21,17,10,14,14,10,16,15,6,5,14,10,10,9,6,12,5,4,12,17,21,6,11,9,10,4,8,3,2,17,7,10,13,4,1,0,0,2,2,1,1,4,0,0,0,1,0,2,3,0,0,8,0,2,1,4,1,1,3,3,2,0,1,3,5,6,6,5,7,3,2,5,1,7,21,1,2,0,8,4,7,0,5,1,10,1,4,3,0,1,9,1,1,0,3,24,11,3,7,4,7,6,10,5,2
aca_A6U_002,aca,91,81,70,74,42,53,23,16,23,9,19,17,18,15,16,5,3,10,4,14,13,4,4,10,1,7,5,15,4,2,1,8,0,5,5,6,34,0,4,22,14,3,9,1,1,8,4,24,8,5,2,0,0,0,6,0,0,0,0,0,0,0,0,0,6,3,0,6,0,1,0,3,0,1,2,4,0,0,5,0,1,4,1,2,7,4,3,5,4,3,20,0,0,0,4,13,17,2,4,0,5,0,2,0,2,0,4,1,0,0,4,7,2,0,6,6,3,2,12,5,25
aca_A6U_003,aca,141,143,112,98,98,55,26,33,25,37,33,18,31,31,16,16,19,11,16,21,12,9,17,17,10,10,15,14,10,4,3,10,5,13,8,12,50,8,13,18,6,8,9,3,0,25,16,26,17,6,1,0,0,0,12,3,0,2,1,0,0,0,0,0,6,0,1,6,1,0,1,6,2,3,4,5,2,0,10,4,2,2,3,7,3,3,2,3,3,3,40,2,1,2,9,13,12,6,6,1,3,7,8,0,5,3,8,4,5,1,10,29,12,3,12,11,12,5,20,3,16
aca_A6U_004,aca,184,195,149,120,117,91,70,35,30,13,38,26,32,21,23,23,20,21,17,24,37,24,15,17,6,14,8,36,16,8,5,4,8,12,19,25,42,15,18,24,6,14,14,3,16,9,22,15,18,9,4,1,2,4,14,5,7,1,0,0,1,2,3,1,7,3,1,12,1,0,1,5,0,0,4,11,3,0,13,3,6,1,1,0,3,2,0,1,1,0,14,3,1,0,0,11,15,7,9,0,13,5,4,2,9,1,16,6,4,2,10,3,4,0,4,13,6,4,7,1,20
aca_A6U_005,aca,91,94,62,77,56,46,44,27,13,16,18,17,16,30,10,11,24,10,27,12,10,9,24,19,8,6,12,13,11,5,2,8,3,7,5,13,15,2,21,10,6,5,7,6,3,5,9,19,4,11,0,0,0,1,3,1,2,1,3,0,1,1,1,2,2,0,0,1,0,3,1,5,0,0,9,2,1,0,3,0,0,5,2,3,9,9,3,4,2,9,13,0,6,2,7,8,5,4,6,4,1,1,2,3,2,0,6,3,3,1,7,5,7,6,5,9,5,2,2,0,17
aca_A6U_006,aca,191,197,180,125,81,103,69,55,35,35,53,52,48,51,32,21,16,28,20,36,18,14,21,25,7,16,8,31,19,5,7,17,5,3,15,21,38,5,22,42,12,10,14,4,3,55,20,34,11,11,3,1,2,5,8,1,5,2,2,0,0,0,0,1,2,5,0,2,2,6,4,6,0,1,13,13,2,0,9,1,2,4,10,0,13,10,2,10,5,9,18,2,4,0,4,31,19,9,8,3,6,2,7,7,7,0,11,12,10,1,12,10,16,1,14,14,11,2,17,2,25
aca_ACJ_007,aca,652,615,435,390,224,274,368,98,122,69,153,113,169,72,109,140,75,95,103,72,121,143,59,53,97,50,49,86,72,131,100,35,37,51,94,53,32,74,48,31,46,59,62,25,73,31,73,27,38,57,3,0,4,3,25,11,11,10,2,0,3,1,2,5,18,9,0,24,3,3,2,4,4,0,43,60,8,1,19,58,30,5,24,15,14,44,3,17,11,7,13,1,3,2,30,14,6,8,29,3,55,5,41,18,20,1,62,32,21,1,27,19,41,5,10,6,6,20,7,0,6
aca_ACJ_008,aca,610,525,404,321,186,300,248,103,115,143,188,122,196,122,66,108,86,143,102,94,113,119,73,57,92,43,60,96,65,104,82,83,43,42,100,51,27,64,45,43,44,73,73,25,51,24,53,33,44,34,5,1,7,7,34,13,15,3,1,0,2,1,0,6,19,11,2,24,6,3,2,3,2,1,18,59,8,0,15,45,20,4,13,8,9,33,4,14,8,5,10,3,0,1,13,16,9,7,21,2,49,13,38,17,28,1,56,39,31,3,27,18,23,4,4,6,4,46,6,2,5
aca_ALP_009,aca,218,159,154,92,57,67,97,28,49,16,26,32,27,23,45,41,23,29,29,14,34,34,21,12,19,42,16,19,19,21,17,7,19,26,27,20,5,11,14,10,13,17,4,27,23,33,14,7,3,24,9,2,6,4,6,8,4,14,7,1,3,2,1,1,16,6,3,6,2,6,3,4,3,3,9,18,1,0,4,6,5,5,10,2,11,17,3,2,3,6,7,2,2,1,10,7,7,1,4,1,14,7,8,4,9,4,12,2,7,2,10,12,30,3,1,5,7,16,2,2,1
aca_ALP_010,aca,147,121,125,77,80,54,51,54,46,81,25,46,7,35,18,24,36,5,15,28,7,14,25,14,19,62,19,5,16,7,19,22,13,0,8,12,8,11,12,34,2,32,2,4,24,2,12,22,1,38,1,0,1,2,0,6,1,21,6,0,2,0,0,1,8,2,0,8,3,10,1,3,12,1,21,14,7,0,3,3,8,5,15,12,12,30,0,14,7,7,3,1,4,0,35,8,4,21,5,4,1,2,0,3,1,0,0,0,1,1,10,6,1,0,3,7,0,21,2,0,3
aca_ALP_011,aca,145,135,111,74,54,51,93,27,25,15,19,51,29,16,44,25,19,17,30,32,10,19,36,16,21,23,7,19,13,27,14,11,12,9,9,15,10,1,17,10,8,9,11,52,6,3,20,15,3,14,2,0,1,4,3,0,1,1,1,0,1,1,0,3,6,1,1,2,0,1,6,1,0,1,6,11,2,4,1,16,3,3,1,0,2,5,1,0,0,1,7,1,2,0,4,11,5,4,5,0,9,2,7,5,2,1,19,5,6,0,5,5,3,2,6,19,6,3,3,0,2
aca_ALP_012,aca,150,141,87,103,53,83,70,45,37,84,92,41,84,50,25,46,70,23,21,20,19,19,33,20,17,46,34,15,20,9,10,39,10,24,16,17,16,9,25,10,13,11,15,16,10,20,12,15,19,13,2,0,1,1,7,2,3,7,0,0,2,0,0,0,3,5,0,6,1,1,1,2,0,1,11,5,5,0,1,11,1,1,4,8,11,15,0,6,1,12,8,0,2,1,34,3,11,5,9,1,11,1,9,7,5,0,9,5,8,1,12,14,6,1,5,13,3,2,3,0,6
aca_AMM_013,aca,889,522,560,642,507,330,180,347,248,300,141,296,128,313,172,97,129,174,93,126,77,50,43,238,96,60,116,57,144,30,79,120,63,95,46,117,23,39,31,57,85,46,65,34,66,172,54,63,69,35,54,2,5,34,27,14,39,18,0,0,2,5,0,29,14,2,22,30,9,9,16,9,5,14,38,49,7,0,16,19,14,14,21,10,47,44,6,21,17,24,28,4,11,3,38,26,66,30,47,4,46,45,50,55,32,2,58,26,28,12,95,14,26,0,25,34,3,33,61,5,1
aca_AMM_014,aca,247,158,143,125,110,69,50,80,57,57,32,106,27,56,45,21,18,44,28,39,25,26,7,49,36,14,15,20,28,13,17,25,28,12,11,27,5,17,5,11,28,21,15,8,29,16,16,11,11,7,7,0,5,4,9,9,9,3,0,0,0,2,0,3,9,1,3,8,1,2,4,6,0,1,4,21,5,0,2,11,1,2,9,6,10,11,0,4,3,4,3,0,1,1,13,2,11,4,17,3,9,13,7,14,19,1,7,2,7,3,12,3,5,0,1,3,2,4,3,1,0
aca_AS6_015,aca,172,170,141,139,119,89,71,60,45,70,96,40,86,53,25,35,21,15,37,37,22,24,36,34,11,25,28,19,24,19,15,40,4,23,19,19,10,15,22,9,13,10,23,21,7,36,21,11,23,9,5,0,3,2,4,3,6,1,1,0,2,0,1,2,5,3,2,1,0,2,0,1,1,0,17,8,1,0,7,6,5,4,4,3,12,12,2,10,4,15,16,3,2,2,13,6,4,3,5,1,6,6,6,3,3,1,8,5,2,0,10,14,25,14,9,11,7,4,1,1,6
aca_AS6_016,aca,225,231,181,125,95,87,62,79,57,68,83,107,60,54,25,33,23,8,30,60,21,19,42,43,11,20,27,4,11,9,12,40,3,9,25,21,29,5,31,13,11,21,9,12,10,35,34,9,19,15,1,0,1,2,2,0,5,7,0,0,0,0,0,3,4,2,0,9,0,11,2,3,5,0,34,13,1,0,2,3,2,4,9,11,25,34,5,12,0,18,26,0,3,2,52,4,4,7,8,4,6,3,2,4,3,1,5,4,1,0,4,22,25,19,4,17,9,18,15,4,17
