"","in_dt_n","dt_n_","nn_n_d","dt_j_","in_dt_j","j","nn_in_nn","nns__","vbn__","in_j_","prp_m_","prp_vbp_r","prp_vbp_p","vb_d_","prp_vbp_v","vbp__","prp_vbz_","prp_vbd_","in_p_","nn_n_p","vbd__","m","prp_vbp_n","nn_n_nnp","in_n_","nnp__"
"in_dt_nn","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"dt_nn_in","B","1","","","","","","","","","","","","","","","","","","","","","","","",""
"nn_in_dt","B","B","1","","","","","","","","","","","","","","","","","","","","","","",""
"dt_jj_nn","*","*","B","1","","","","","","","","","","","","","","","","","","","","","",""
"in_dt_jj","*","*","B","B","1","","","","","","","","","","","","","","","","","","","","",""
"jj_nn_in","+","*","*","*","*","1","","","","","","","","","","","","","","","","","","","",""
"nn_in_nn","+","*","*","+","+","*","1","","","","","","","","","","","","","","","","","","",""
"nns_in_dt","+","+","*","+","*","+","+","1","","","","","","","","","","","","","","","","","",""
"vbn_in_dt","+","+","*","*","*","*","+","*","1","","","","","","","","","","","","","","","","",""
"in_jj_nns",",",",",",",",",",","+",",","+","+","1","","","","","","","","","","","","","","","",""
"prp_md_vb",",",".",".",",",".",".",".",".","."," ","1","","","","","","","","","","","","","","",""
"prp_vbp_rb",".","."," ","."," "," "," "," "," "," ",",","1","","","","","","","","","","","","","",""
"prp_vbp_prp","."," "," "," "," "," "," "," "," "," ",",","+","1","","","","","","","","","","","","",""
"vb_dt_nn",",",",",",",",",",",",",",",",",",",".",",",".",".","1","","","","","","","","","","","",""
"prp_vbp_vbn",".","."," ",".","."," "," "," "," "," ",",","+",",",".","1","","","","","","","","","","",""
"vbp_rb_vb",".","."," ","."," "," "," "," "," "," ",",","*","+",",",",","1","","","","","","","","","",""
"prp_vbz_rb",".",".",".",".",".",".",".",".",".",".",",",",",",",",",",",",","1","","","","","","","","",""
"prp_vbd_rb",".",".",".",".",".","."," "," "," "," ",",",".",".",".",".",".",".","1","","","","","","","",""
"in_prp_nn",",",",",",",",",",",".",".",".",".",".",",",".",".",",",".",".",".",",","1","","","","","","",""
"nn_in_prp",",",",",",",",",",",".",".",".",".",".",",",".",".",",",".",".",".",",","B","1","","","","","",""
"vbd_dt_nn",",",".",".",".",".",".",".",".","."," ",",",".",".",".",".",".",".","+","+","+","1","","","","",""
"md_rb_vb",",",",",",",",",",",",",",",".",".",".","+",",",",","+",".",",",",",".",",",",",".","1","","","",""
"prp_vbp_in",".",".",".","."," ",".","."," "," "," ",",",".",",",",",".",",","."," ",".",".",".",",","1","","",""
"nn_in_nnp",",",",",",",",",",",",",".",".",",",".",".","."," ",","," ",".",".",".",",",",",",",",",".","1","",""
"in_nnp_nnp",".",".",".",".",".",".",".",".",".",".","."," "," ","."," "," "," ",".",".",".",".","."," ",",","1",""
"nnp_nnp_nnp",".",".",".","."," ","."," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",".",".","1"
